id_movimentacao,id_produto,data_movimentacao,tipo_movimentacao,quantidade_movimentada
00000000-0000-4000-a000-000000000001,00000000-0000-4000-8000-000000000001,2026-04-01T08:00:00-03:00,entrada,300
00000000-0000-4000-a000-000000000002,00000000-0000-4000-8000-000000000001,2026-04-30T11:00:00-03:00,saida,100
00000000-0000-4000-a000-000000000003,00000000-0000-4000-8000-000000000001,2026-05-20T11:00:00-03:00,saida,80
00000000-0000-4000-a000-000000000004,00000000-0000-4000-8000-000000000002,2026-04-01T08:05:00-03:00,entrada,250
00000000-0000-4000-a000-000000000005,00000000-0000-4000-8000-000000000002,2026-04-30T11:05:00-03:00,saida,80
00000000-0000-4000-a000-000000000006,00000000-0000-4000-8000-000000000002,2026-05-20T11:05:00-03:00,saida,60
00000000-0000-4000-a000-000000000007,00000000-0000-4000-8000-000000000003,2026-04-01T08:10:00-03:00,entrada,310
00000000-0000-4000-a000-000000000008,00000000-0000-4000-8000-000000000003,2026-04-30T11:10:00-03:00,saida,90
00000000-0000-4000-a000-000000000009,00000000-0000-4000-8000-000000000003,2026-05-20T11:10:00-03:00,saida,70
00000000-0000-4000-a000-000000000010,00000000-0000-4000-8000-000000000004,2026-04-01T08:15:00-03:00,entrada,130
00000000-0000-4000-a000-000000000011,00000000-0000-4000-8000-000000000004,2026-04-30T11:15:00-03:00,saida,35
00000000-0000-4000-a000-000000000012,00000000-0000-4000-8000-000000000004,2026-05-20T11:15:00-03:00,saida,25
00000000-0000-4000-a000-000000000013,00000000-0000-4000-8000-000000000005,2026-04-01T08:20:00-03:00,entrada,190
00000000-0000-4000-a000-000000000014,00000000-0000-4000-8000-000000000005,2026-04-30T11:20:00-03:00,saida,50
00000000-0000-4000-a000-000000000015,00000000-0000-4000-8000-000000000005,2026-05-20T11:20:00-03:00,saida,40
00000000-0000-4000-a000-000000000016,00000000-0000-4000-8000-000000000006,2026-04-01T08:25:00-03:00,entrada,60
00000000-0000-4000-a000-000000000017,00000000-0000-4000-8000-000000000006,2026-04-30T11:25:00-03:00,saida,12
00000000-0000-4000-a000-000000000018,00000000-0000-4000-8000-000000000006,2026-05-20T11:25:00-03:00,saida,8
00000000-0000-4000-a000-000000000019,00000000-0000-4000-8000-000000000007,2026-04-01T08:30:00-03:00,entrada,115
00000000-0000-4000-a000-000000000020,00000000-0000-4000-8000-000000000007,2026-04-30T11:30:00-03:00,saida,28
00000000-0000-4000-a000-000000000021,00000000-0000-4000-8000-000000000007,2026-05-20T11:30:00-03:00,saida,22
00000000-0000-4000-a000-000000000022,00000000-0000-4000-8000-000000000008,2026-04-01T08:35:00-03:00,entrada,105
00000000-0000-4000-a000-000000000023,00000000-0000-4000-8000-000000000008,2026-04-30T11:35:00-03:00,saida,25
00000000-0000-4000-a000-000000000024,00000000-0000-4000-8000-000000000008,2026-05-20T11:35:00-03:00,saida,20
00000000-0000-4000-a000-000000000025,00000000-0000-4000-8000-000000000009,2026-04-01T08:40:00-03:00,entrada,400
00000000-0000-4000-a000-000000000026,00000000-0000-4000-8000-000000000009,2026-04-30T11:40:00-03:00,saida,120
00000000-0000-4000-a000-000000000027,00000000-0000-4000-8000-000000000009,2026-05-20T11:40:00-03:00,saida,100
00000000-0000-4000-a000-000000000028,00000000-0000-4000-8000-000000000010,2026-04-01T08:45:00-03:00,entrada,150
